Game,Wins,Ranking,Loss,Team
1,1,nan,0,UIW
2,2,nan,0,MVSU
3,3,nan,0,SELU
4,4,nan,0,USC
5,5,nan,0,NEBR
6,6,nan,0,UNC
7,7,20,0,MEM
8,8,13,0,APBU
9,9,11,0,NSU
10,10,11,0,ACU
11,10,12,1,DUKE
12,11,11,0,UTRGV
13,12,11,0,WVU
14,13,11,0,KSU
15,14,8,0,OU
16,15,8,0,UT 
17,15,8,1,ISU
18,15,8,1,BU
19,15,14,1,KSU
20,16,14,0,ARK
21,17,16,0,TCU
22,17,16,1,KU
23,18,18,0,WVU
24,19,18,0,OU
25,20,15,0,OSU
26,21,15,0,BU
27,22,14,0,KU
28,23,11,0,OSU
29,24,11,0,TCU
30,25,8,0,UT
31,26,8,0,ISU
32,26,3,1,WVU
33,27,3,0,NKU
34,28,3,0,BUFF
35,29,3,0,MICH
36,30,3,0,GONZ
37,31,3,0,MSU
38,32,3,1,UV
